dt,board,state,action,price,nav,expressed,bull,bear,mixed,bull_frac,trigger,trigger_short,gaps
2026-01-05 09:30:00+08:00,short,L,buy,3986.972,1.0,4,4,0,0,1.0,True,False,0
2026-01-05 10:00:00+08:00,short,L,hold,3995.023,1.002019,4,4,0,0,1.0,True,False,0
2026-01-05 10:30:00+08:00,short,L,hold,4006.483,1.004894,5,5,0,0,1.0,True,False,0
2026-01-05 11:00:00+08:00,short,L,hold,4005.239,1.004582,5,5,0,0,1.0,True,False,0
2026-01-05 11:30:00+08:00,short,L,hold,4011.448,1.006139,5,5,0,0,1.0,True,False,0
2026-01-05 13:00:00+08:00,short,L,hold,4011.839,1.006237,6,5,1,0,0.8333,True,False,0
2026-01-05 13:30:00+08:00,short,L,hold,4010.588,1.005923,6,5,1,0,0.8333,True,False,0
2026-01-05 14:00:00+08:00,short,L,hold,4018.749,1.00797,6,5,1,0,0.8333,True,False,0
2026-01-05 14:30:00+08:00,short,L,hold,4022.828,1.008993,6,5,1,0,0.8333,True,False,0
2026-01-05 15:00:00+08:00,short,L,hold,4023.417,1.009141,6,5,1,0,0.8333,True,False,0
2026-01-06 09:30:00+08:00,short,F,sell,4026.016,1.009793,9,5,4,0,0.5556,False,False,0
2026-01-06 10:00:00+08:00,short,F,hold,4050.028,1.009793,9,4,5,0,0.4444,False,False,0
2026-01-06 10:30:00+08:00,short,F,hold,4058.408,1.009793,9,4,5,0,0.4444,False,False,0
2026-01-06 11:00:00+08:00,short,F,hold,4060.867,1.009793,9,4,5,0,0.4444,False,False,0
2026-01-06 11:30:00+08:00,short,F,hold,4069.376,1.009793,9,4,5,0,0.4444,False,False,0
2026-01-06 13:00:00+08:00,short,F,hold,4069.773,1.009793,9,4,5,0,0.4444,False,False,0
2026-01-06 13:30:00+08:00,short,F,hold,4070.639,1.009793,9,4,5,0,0.4444,False,False,0
2026-01-06 14:00:00+08:00,short,F,hold,4065.411,1.009793,9,4,5,0,0.4444,False,False,0
2026-01-06 14:30:00+08:00,short,F,hold,4079.267,1.009793,9,4,5,0,0.4444,False,False,0
2026-01-06 15:00:00+08:00,short,F,hold,4083.667,1.009793,9,4,5,0,0.4444,False,False,0
2026-01-07 09:30:00+08:00,short,F,hold,4083.843,1.009793,6,3,3,0,0.5,False,False,0
2026-01-07 10:00:00+08:00,short,F,hold,4089.48,1.009793,6,3,3,0,0.5,False,False,0
2026-01-07 10:30:00+08:00,short,F,hold,4082.921,1.009793,6,3,3,0,0.5,False,False,0
2026-01-07 11:00:00+08:00,short,F,hold,4088.37,1.009793,6,3,3,0,0.5,False,False,0
2026-01-07 11:30:00+08:00,short,F,hold,4095.544,1.009793,6,3,3,0,0.5,False,False,0
2026-01-07 13:00:00+08:00,short,F,hold,4096.253,1.009793,6,3,3,0,0.5,False,False,0
2026-01-07 13:30:00+08:00,short,F,hold,4078.835,1.009793,6,3,3,0,0.5,False,False,0
2026-01-07 14:00:00+08:00,short,F,hold,4080.198,1.009793,6,3,3,0,0.5,False,False,0
2026-01-07 14:30:00+08:00,short,F,hold,4084.895,1.009793,6,3,3,0,0.5,False,False,0
2026-01-07 15:00:00+08:00,short,F,hold,4085.772,1.009793,6,3,3,0,0.5,False,False,0
2026-01-08 09:30:00+08:00,short,F,hold,4077.715,1.009793,8,3,5,0,0.375,False,False,0
2026-01-08 10:00:00+08:00,short,F,hold,4085.187,1.009793,8,3,5,0,0.375,False,False,0
2026-01-08 10:30:00+08:00,short,F,hold,4083.333,1.009793,8,3,5,0,0.375,False,False,0
2026-01-08 11:00:00+08:00,short,F,hold,4093.5,1.009793,8,3,5,0,0.375,False,False,0
2026-01-08 11:30:00+08:00,short,F,hold,4089.449,1.009793,8,3,5,0,0.375,False,False,0
2026-01-08 13:00:00+08:00,short,F,hold,4089.8,1.009793,9,4,5,0,0.4444,False,False,0
2026-01-08 13:30:00+08:00,short,F,hold,4089.798,1.009793,9,4,5,0,0.4444,False,False,0
2026-01-08 14:00:00+08:00,short,F,hold,4086.936,1.009793,9,4,5,0,0.4444,False,False,0
2026-01-08 14:30:00+08:00,short,F,hold,4078.59,1.009793,9,4,5,0,0.4444,False,False,0
2026-01-08 15:00:00+08:00,short,F,hold,4082.979,1.009793,9,4,5,0,0.4444,False,False,0
2026-01-09 09:30:00+08:00,short,F,hold,4086.762,1.009793,6,3,3,0,0.5,False,False,0
2026-01-09 10:00:00+08:00,short,F,hold,4104.841,1.009793,6,3,3,0,0.5,False,False,0
2026-01-09 10:30:00+08:00,short,F,hold,4111.935,1.009793,6,3,3,0,0.5,False,False,0
2026-01-09 11:00:00+08:00,short,F,hold,4114.198,1.009793,6,3,3,0,0.5,False,False,0
2026-01-09 11:30:00+08:00,short,F,hold,4095.329,1.009793,6,3,3,0,0.5,False,False,0
2026-01-09 13:00:00+08:00,short,F,hold,4095.581,1.009793,6,3,3,0,0.5,False,False,0
2026-01-09 13:30:00+08:00,short,F,hold,4106.681,1.009793,6,3,3,0,0.5,False,False,0
2026-01-09 14:00:00+08:00,short,F,hold,4109.512,1.009793,6,3,3,0,0.5,False,False,0
2026-01-09 14:30:00+08:00,short,F,hold,4113.294,1.009793,6,3,3,0,0.5,False,False,0
